Godzilla vs. Destoroyah|1995|Destoroyah,Godzilla Junior
Godzilla|1998|Matthew Broderick
The Return of Godzilla|1984|Shockirus
Godzilla|1954|None
Godzilla Raids Again|1955|Anguiras
King Kong vs. Godzilla|1962|King Kong,giant octopus
Ghidorah, the Three-Headed Monster|1964|King Ghidorah,Mothra,Rodan
Godzilla vs. the Sea Monster|1966|Ebirah,Mothra,giant condor
Son of Godzilla|1967|Kamacuras,Kumonga,Minilla
Destroy All Monsters|1968|Anguiras,Baragon,Gorosaurus,King Ghidorah,Kumonga,Manda,Minilla,Mothra,Rodan,Varan
All Monsters Attack|1969|Gabara,Minilla,Maneater
Godzilla vs. Hedorah|1971|Hedorah
Godzilla vs. Megalon|1973|Gigan,Jet Jaguaar,Megalon
Godzilla vs. Mechagodzilla|1974|Anguiras,King Caesar,Mechagodzilla,Fake Godzilla
Terror of Mechagodzilla|1975|Mechagodzilla,Titanosaurus
Godzilla vs. Biollante|1989|Biollante
Godzilla vs. King Ghidorah|1991|Dorat,Godzillasaurus,King Ghidorah,Mecha-King Ghidorah
Godzilla vs. Mothra|1992|Battra,Mothra
Godzilla vs. Mechagodzilla II|1993|Baby Godzilla,Rodan,Mechagodzilla,Mecha-King Ghidorah
Godzilla vs. SpaceGodzilla|1994|Fairy Mothra,Little Godzilla,MOGUERA,SpaceGodzilla
Godzilla 2000: Millennium|1999|Orga
Godzilla vs. Megaguiras|2000|Meganulon,Meganula,Megaguiras
Godzilla, Mothra, and King Ghidorah: Giant Monsters All-Out Attack|2001|Baragon,King Ghidorah,Mothra
Godzilla Against Mechagodzilla|2002|Kiryu
Godzilla: Tokyo S.O.S.|2003|Kamoebas,Kiryu,Mothra
Godzilla: Final Wars|2004|Anguiras,Ebirah,Gigan,Hedorah,Monster X,Keizer Ghidorah,Kamacuras,King Caesar,Kumonga,Manda,Minilla,Mothra,Rodan,Zilla
Godzilla|2014|M.U.T.O.
Mothra vs. Godzilla|1964|Mothra
Invasion of Astro-Monster|1965|King Ghidorah,Rodan
Godzilla vs. Gigan|1972|Anguiras,Gigan,King Ghidorah
